title,body,source,timestamp,tags
Pencatatan Obligasi Berkelanjutan I Dian Swastatika Sentosa Tahap I Tahun 2024 dan Sukuk Mudharabah Berkelanjutan I Dian Swastatika Sentosa Tahap I Tahun 2024 pada tanggal 19 April 2024,"Pada 19 April 2024, Obligasi Berkelanjutan I Dian Swastatika Sentosa Tahap I Tahun 2024 dan Sukuk Mudharabah Berkelanjutan I Dian Swastatika Sentosa Tahap I Tahun 2024 oleh PT Dian Swastatika Sentosa Tbk mulai dicatatkan di Bursa Efek Indonesia (BEI).",/api/api/publication/news/10635,2024-04-19T00:00:00,DSSA
Seremoni Pencatatan Perdana Saham PT Multi Hanna Kreasindo Tbk (MHKI) di Bursa Efek Indonesia,"Pada Selasa, 16 April 2024, perdagangan PT Bursa Efek Indonesia (BEI) dibuka dalam rangka pencatatan perdana saham PT Multi Hanna Kreasindo Tbk (MHKI) di papan pengembangan BEI. MHKI merupakan perusahaan tercatat ke-22 yang tercatat di BEI pada tahun 2024.",/api/api/publication/news/10627,2024-04-16T09:10:00,MHKI
Seremoni Pencatatan Perdana Saham PT Atlantis Subsea Indonesia Tbk (ATLA di Bursa Efek Indonesia,"Pada Selasa, 16 April 2024, perdagangan PT Bursa Efek Indonesia (BEI) juga dibuka dalam rangka pencatatan perdana saham PT Atlantis Subsea Indonesia Tbk (ATLA) di papan pengembangan BEI. ATLA merupakan perusahaan tercatat ke-21 yang tercatat di BEI pada tahun 2024.",/api/api/publication/news/10629,2024-04-16T09:00:00,ATLA
Pencatatan Perdana Saham PT Multi Hanna Kreasindo Tbk (MHKI) di Bursa Efek Indonesia,"Pada Selasa, 16 April 2024, pembukaan perdagangan Bursa Efek Indonesia (BEI) dilakukan oleh PT Multi Hanna Kreasindo Tbk (MHKI) dalam rangka pencatatan perdana saham di Papan Pengembangan BEI. MHKI menjadi perusahaan ke-22 yang tercatat di BEI pada tahun 2024.",/api/api/publication/news/10625,2024-04-16T01:00:00,MHKI
Pencatatan Obligasi Berkelanjutan III Sinar Mas Multiartha Tahap I Tahun 2024 pada tanggal 16 April 2024,"Pada 16 April 2024, Obligasi Berkelanjutan III Sinar Mas Multiartha Tahap I Tahun 2024 oleh PT Sinar Mas Multiartha Tbk mulai dicatatkan di Bursa Efek Indonesia (BEI).",/api/api/publication/news/10621,2024-04-16T00:00:00,SMMA
Pencatatan Perdana Saham dan Waran PT Atlantis Subsea Indonesia Tbk (ATLA) di Bursa Efek Indonesia,"Pada Selasa, 16 April 2024, pembukaan perdagangan Bursa Efek Indonesia (BEI) dilakukan oleh PT Atlantis Subsea Indonesia Tbk (ATLA) dalam rangka pencatatan perdana saham di Papan Pengembangan BEI. ATLA menjadi perusahaan ke-21 yang tercatat di BEI pada tahun 2024.
",/api/api/publication/news/10623,2024-04-16T00:00:00,ATLA
Pencatatan Obligasi Berkelanjutan IV Indah Kiat Pulp & Paper Tahap IV Tahun 2024 dan Sukuk Mudharabah Berkelanjutan III Indah Kiat Pulp & Paper Tahap IV Tahun 2024 pada tanggal 5 April 2024,"Pada 5 April 2024, Obligasi Berkelanjutan IV Indah Kiat Pulp & Paper Tahap IV Tahun 2024 dan Sukuk Mudharabah Berkelanjutan III Indah Kiat Pulp & Paper Tahap IV Tahun 2024 yang diterbitkan oleh PT Indah Kiat Pulp & Paper Tbk mulai dicatatkan di Bursa Efek Indonesia (BEI).",/api/api/publication/news/10617,2024-04-05T00:00:00,"INKP,SMINKP"
Pencatatan Obligasi USD Berkelanjutan I Indah Kiat Pulp & Paper Tahap III Tahun 2024 pada tanggal 5 April 2024,"Pada 5 April 2024, Obligasi USD Berkelanjutan I Indah Kiat Pulp & Paper Tahap III Tahun 2024 yang diterbitkan oleh PT Indah Kiat Pulp & Paper Tbk mulai dicatatkan di Bursa Efek Indonesia (BEI).",/api/api/publication/news/10619,2024-04-05T00:00:00,INKP
Seremoni Pencatatan Perdana Saham PT Dunia Virtual Online Tbk (AREA) di Bursa Efek Indonesia,"Pada Senin, 1 April 2024, perdagangan PT Bursa Efek Indonesia (BEI) dibuka dalam rangka pencatatan perdana saham PT Dunia Virtual Online Tbk (AREA) di papan pengembangan BEI. AREA merupakan perusahaan tercatat ke-20 yang tercatat di BEI pada tahun 2024.",/api/api/publication/news/10597,2024-04-01T09:00:00,AREA
Pencatatan Obligasi oleh PT OKI Pulp & Paper Mills pada tanggal 1 April 2024,"Pada 1 April 2024, Obligasi Berkelanjutan I OKI Pulp & Paper Mills Tahap III Tahun 2024, Obligasi USD Berkelanjutan I OKI Pulp & Paper Mills Tahap III Tahun 2024, dan Obligasi Berwawasan Lingkungan Berkelanjutan I OKI Pulp & Paper Mills Tahap III Tahun 2024 yang diterbitkan oleh PT OKI Pulp & Paper Mills mulai dicatatkan di Bursa Efek Indonesia (BEI).",/api/api/publication/news/10595,2024-04-01T01:00:00,OPPM
